Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),ENA Express support,On-Demand Linux pricing,On-Demand Ubuntu Pro pricing,On-Demand SUSE pricing,On-Demand Windows pricing,On-Demand RHEL pricing,On-Demand ap-southeast-2-akl-1 SUSE pricing,On-Demand ap-southeast-2-akl-1 Windows pricing,On-Demand ap-southeast-2-akl-1 RHEL pricing,On-Demand ap-southeast-2-akl-1 Linux pricing,On-Demand ap-southeast-2-akl-1 Ubuntu Pro pricing,On-Demand ap-southeast-2-per-1 SUSE pricing,On-Demand ap-southeast-2-per-1 Ubuntu Pro pricing,On-Demand ap-southeast-2-per-1 RHEL pricing,On-Demand ap-southeast-2-per-1 Windows pricing,On-Demand ap-southeast-2-per-1 Linux pricing
t3a.large,t3a,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",2.2,8.0,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,12,12,true,"partition, spread",0,0,true,supported,ebs,-,true,true,True,695,4000,86.875,2780,15700,347.5,False,0.095 USD per Hour,0.0985 USD per Hour,0.1513 USD per Hour,0.1226 USD per Hour,0.1238 USD per Hour,,,,,,,,,,
t3.large,t3,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",2.5,8.0,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,12,12,true,"partition, spread",0,0,true,supported,ebs,true,true,true,True,695,4000,86.875,2780,15700,347.5,False,0.1056 USD per Hour,0.1091 USD per Hour,0.1619 USD per Hour,0.1332 USD per Hour,0.1344 USD per Hour,,,,,,,,,,
m5a.large,m5a,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",2.5,8.0,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,-,true,-,True,650,3600,81.25,2880,16000,360.0,False,0.108 USD per Hour,0.112 USD per Hour,0.164 USD per Hour,0.2 USD per Hour,0.137 USD per Hour,,,,,,,,,,
m6a.large,m6a,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.6,8.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,650,3600,81.25,10000,40000,1250.0,False,0.108 USD per Hour,0.1115 USD per Hour,0.1643 USD per Hour,0.2 USD per Hour,0.1368 USD per Hour,,,,,,,,,,
t2.large,t2,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,xen,2,x86_64,2,-,1,-,2.3,8.0,0,-,-,0,supported,unsupported,Low to Moderate,unsupported,3,12,12,true,"partition, spread",0,0,true,supported,ebs,-,true,true,True,0,0,0.0,0,0,0.0,False,0.1168 USD per Hour,0.1203 USD per Hour,0.2168 USD per Hour,0.1448 USD per Hour,0.1456 USD per Hour,,,,,,,,,,
m7i-flex.large,m7i-flex,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",True,False,False,nitro,2,x86_64,1,1,2,"1,2",3.2,8.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"partition, spread",0,0,true,supported,ebs,-,true,-,True,312,2500,39.0625,10000,40000,1250.0,False,0.1197 USD per Hour,0.1232 USD per Hour,0.176 USD per Hour,0.2071 USD per Hour,0.1485 USD per Hour,,,,,,,,,,
m5.large,m5,large,"ap-southeast-2, ap-southeast-2-per-1, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.1,8.0,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,650,3600,81.25,4750,18750,593.75,False,0.12 USD per Hour,0.124 USD per Hour,0.176 USD per Hour,0.212 USD per Hour,0.149 USD per Hour,,,,,,0.218 USD per Hour,0.166 USD per Hour,0.191 USD per Hour,0.254 USD per Hour,0.162 USD per Hour
m6i.large,m6i,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.5,8.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,650,3600,81.25,10000,40000,1250.0,False,0.12 USD per Hour,0.1235 USD per Hour,0.1763 USD per Hour,0.212 USD per Hour,0.1488 USD per Hour,,,,,,,,,,
m7i.large,m7i,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.2,8.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,650,3600,81.25,10000,40000,1250.0,False,0.126 USD per Hour,0.1295 USD per Hour,0.1823 USD per Hour,0.218 USD per Hour,0.1548 USD per Hour,,,,,,,,,,
m5ad.large,m5ad,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",2.2,8.0,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,true,-,True,650,3600,81.25,2880,16000,360.0,False,0.13 USD per Hour,0.134 USD per Hour,0.186 USD per Hour,0.222 USD per Hour,0.159 USD per Hour,,,,,,,,,,
